year,meeting_number,speaker,speech,party
2014,52,Pia Adelsteen (DF),"Blot her til sidst et spørgsmål om det, ministeren nævner, om, at Kystdirektoratet altid laver sådan en fordelulempe-vurdering i forhold til den ansøgning om kystsikring, der kommer fra grundejeren. Er det så sådan, at man som interessent kan få en oversigt over, hvad fordelene og ulemperne er, når der bliver givet afslag – altså lidt aktindsigt, kan man vel sige – sådan at man får en begrundelse og rent faktisk også kan finde ud af, hvad pokker det er, der foregår? For jeg synes ikke altid, logikken lige følger min logik i hvert fald.",DF
2021,9,(Karen Ellemann),"Tak til Nye Borgerliges ordfører. Så ser jeg ikke flere ordførere til stede i salen, som ønsker at deltage i denne debat, og dermed kan jeg give ordet til erhvervsministeren. Velkommen.",V
2011,51,Pernille Skipper (EL),"Tak. Og tak til ordføreren for at sætte os alle sammen på plads om, hvad det er, vi egentlig diskuterer her i dag, for det er selvfølgelig rigtigt, at vi diskuterer muligheden for rettighedsfrakendelse hos juridiske personer, men nu bruger den konservative ordfører sammenligningen med muligheden for at frakende personer førerretten. Der må ordføreren vel så også give mig ret i at det i dag ikke er muligt at frakende juridiske personer kørekortet. I dag har vi jo den lovgivning, at man kan rettighedsfrakende hos fysiske personer, ikke hos juridiske personer. Det er vel fuldstændig tilsvarende kørekortsfrakendelse, ikke sandt? Første næstformand",EL
2010,63,Per Dalgaard (DF),"Tak. Nu er det jo ikke ukendt, at hver eneste gang ordet kul bliver nævnt, falder fru Anne Grete Holmsgaard om med 40 i feber. Det vil vi selvfølgelig ikke have, så jeg vil ikke nævne ordet kul lige nu og her. Jeg vil spørge, om fru Anne Grete Holmsgaard er bekendt med en OECDrapport, der kom for nylig, og som er lavet af IEA og NEA. Jeg vil ikke sige, hvad NEA står for, men IEA står for International Energy Agency – altså en international energiorganisation. De har, hvis jeg husker tallet helt korrekt – det kan godt være, at det er lidt større – undersøgt 34 værker worldwide, hvor de har taget forskellige elementer: kernekraftværker, gasfyrede værker, kulfyrede værker, vindenergi, biomasseværker, solceller. De har taget et hav af forskellige elementer, og deres rapport handler om omkostninger ved elforsyningen. Jeg ved ikke, om fru Anne Grete Holmsgaard kan gætte, hvilke værker der kommer ud som nummer et, og som er de billigste. Det er rent faktisk kernekraftværker, og dem vil vi slet ikke snakke om. Nummer to er de gasfyrede værker, derefter kommer de kulfyrede værker, og så kommer vindenergi. Hvordan forholder fru Anne Grete Holmsgaard sig til det? Første næstformand",DF
2013,22,Per Clausen (EL),"Jeg tror, at det er en rigtig gunstig position for en minister at begrænse befolkningens indflydelse til den dialog, han selv har med befolkningen. Det er ret nemt at styre, og det har hr. Hans Christian Schmidt sikkert gode erfaringer med. Jeg vil bare spørge om en anden ting, og det er, at jeg kunne forstå på hr. Hans Christian Schmidt, at svækket klageadgang i forhold til de politiske beslutninger om, hvilke målsætninger der skal være, ville svække Folketingets indflydelse. Det forstår jeg overhovedet ingenting af. Altså, der er vel ingen sammenhæng mellem, om befolkningen har mulighed for at klage over politisk bestemte mål og så Folketingets mulighed for at udøve indflydelse på det? Første næstformand",EL
2002,16,Ulrik Kragh (V),"Nu har begge spørgere travlt med, hvad min fantasi rækker til, og det er simpelt hen ikke så lidt. Men jeg vil sige, at jeg får meget, meget langt at gå, før min fantasi bliver lige så god med hensyn til, hvor mange ulykker der i det hele taget vil ske på grund af dette boligoplæg, som hr. Keld Albrechtsen har fremført hele dagen. Men lad nu det være. De almene boligorganisationer fortsætter som slutejere, det er stadig væk de almene boligorganisationer, der står som slutejere. Det, vi vil have konkurrence på, der, hvor der skal indføres et konkurrenceelement, er i selve det at varetage bygherrerollen, altså de emner, som jeg læste op i min ordførertale. Det synes vi at der er god ræson i, således at vi kan få den kreativitet ind, som udvikles i vore rådgivende virksomheder, således at vi kan få effektiviteten øget i byggeriet. Med hensyn til forbrugerbeskyttelsen, som Socialdemokratiets ordfører var inde på, er der jo netop i lovforslaget lagt ind, at man skal have 20 års sælgerans var. Dermed er der en forbrugerbeskyttelse i lovforslaget, således at man ikke bliver misrøgtet. Endelig er kvalitetssikringsparametrene, som man bruger i AB92, med 1års-eftersyn og 5års- eftersyn, fuldstændig de samme. Der er ikke nogen ændringer af de vilkår, og det er jo også en væsentlig del for at sikre, at kvaliteten er i orden, således at man også får en driftsmæssig forsvarlig vinkel. (Kort bemærkning).",V
2014,60,Karsten Lauritzen (V),"Jo, men som jeg sagde til SF's ordfører, er det jo ikke, fordi vi er uenige i de dele af indholdet, der handler om bedre efteruddannelse og andet. Altså, justitsministeren har jo givet et tilsagn om, at man vil levere bedre statistik, og i øvrigt også om, at man vil indkalde til et møde om det med de lange sagsbehandlingstider. Nu er der selvfølgelig sket nogle ting i den seneste tid, som kan forklare, at det ikke er sket, men vi ser da meget frem til sådan et møde. Og jeg synes måske, det ville være lidt forkert, hvis vi afgav en beretning omkring det, når ministeren faktisk har givet tilsagn. Hvis der ikke sker noget på området, er Venstre da selvfølgelig parat til at se på at afgive en beretning, men jeg synes, at ministeren, ministeriet og politiet lige skal have mulighed for at levere de ting, de faktisk har lovet at komme med, inden vi skriver en beretning om det.",V
2023,83,Victoria Velasquez (EL),"Jeg bliver i hvert fald også bekymret, når man ved, at det netop er de menneskers stemme, vi løfter herind, og at det er dem, som har en stor faglighed og arbejder inden for området og også gør det allermest ihærdigt, der faktisk er udelukket fra forhandlingerne. Det kan jeg i hvert fald mærke giver mig ondt i maven, i forhold til hvad det er for et resultat, der kommer til at lande. Nu er det jo sådan, at regeringen har mistet sit indenrigspolitiske flertal, så overvejer ordføreren måske så at sende en appel til nogle af de andre partier, som ikke er i regeringen? Tredje næstformand",EL
2023,14,Victoria Velasquez (EL),"Jeg kommer faktisk lige ovre fra forhandlingerne om psykiatrien, og grunden til, at jeg prioriterer at være her i salen med ministeren, er jo, at det er godt, at vi på den ene side prioriterer psykiatrien. Det er så tiltrængt. Men hvis vi på den anden side fuldstændig fejer benene væk under dem ved at tage den økonomiske tryghed, som de skal have, kan de jo ikke fokusere på den her behandling, og netop indsatsen, som ministeren er inde på, kan de ikke få lov til at fokusere på, hvis den økonomi, de har, gør, at de simpelt hen bliver så stressede og får det endnu dårligere. Tredje næstformand",EL
2021,114,Statsministeren (Mette Frederiksen),"Ja, det er jo til dels markedsadgangen – og jeg mener, at vi har en kæmpestor fælles interesse ikke bare i Færøerne og Danmark, men i hele EU i at få knyttet Færøerne tættere på Den Europæiske Union og det europæiske fællesskab. Det handler om eksport og samhandel, men det gælder jo også i det hele taget et endnu tættere samarbejde. Det er vi i dialog med Kommissionen om, og det er jeg i dialog med mine færøske kolleger om hvordan vi gør bedst. Det er en skæbnestund for Europa, og jeg er meget, meget glad for de udtalelser, der er kommet fra Færøernes side i den her krise, om, at man så klart definerer sig som en del af Vesten, selvfølgelig også sikkerhedspolitisk. Alt andet ville også være mærkeligt. Men det er blevet sagt, så det ikke kan misforstås; det er blevet sagt klart og tydeligt. Nu handler det så om også at få, kan man sige, nogle konkrete resultater ud af den bevægelse, og det er vi i fuld gang med.",S
2021,51,Klima Energi Og Forsyningsministeren (Dan Jørgensen),"Jeg tror nok, at jeg må sige, at det selvfølgelig er beklageligt, at Venstre ikke er med i den aftale, der sænker elafgiften, men fred være nu med det. Det ligger i et andet forhandlingslokale. Det her regnestykke med at sige, at man så i år har sparet noget støtte til vedvarende energi og de penge skulle man så kunne bruge på at kompensere f.eks. i forbindelse med elafgiften, vil jeg godt høre om sådan er Venstres nye politik på det område. Er det den måde, vi skal gøre det på, i forhold til støtte til vedvarende energi, at man i de år, hvor der i gåseøjne er overskud, kan bruge pengene på noget andet?",S
2020,120,Jette Gottlieb (EL),"Jeg anser ikke sammenhængen for at være bygget sådan op, men vi kan godt tage den ideologiske diskussion, hvis spørgeren kommer med et forslag om skattepolitik. Så skal vi nok tage diskussionen. Tredje næstformand",EL
2019,28,Formanden (Henrik Dam Kristensen),Tak til ordføreren. Der er ikke flere korte bemærkninger. Og vi går videre til hr. Hans Andersen fra Venstre. (Ordfører),S
2023,100,Trine Pertou Mach (EL),"Det er jo ikke en særlig svær konflikt. Vi taler om en besættelsesmagt, som fører en fuldstændig brutal krig ude af proportioner i Gaza som reaktion på et fuldstændig forfærdeligt og brutalt terrorangreb. Men vi er langt forbi den diskussion. Jeg troede, vi havde været igennem det adskillige gange: at på samme måde som man ikke kunne forsvare det terrorangreb med årtiers undertrykkelse, besættelse, udvidelse af bosættelserne, apartheid, og hvad har vi, så kan man heller ikke retfærdiggøre den krigsførelse, som Israel udviser, med det terrorangreb. Balancen, hr. Jeppe Søe, består i at placere sig konsistent og konsekvent på folkerettens side, menneskerettighedernes side, og det betyder, at man er nødt til at handle. Danmark har underskrevet folkedrabskonventionen, hvilket betyder, at vi er forpligtet til at forhindre et folkedrab. Der kan man ikke vente på, at juristerne har konstateret, at det er foregået, for så har vi ikke levet op til vores forpligtelser. Det her handler om en lang række klare signaler på, at den her krig er kørt af sporet, og det er vores pligt at lave de sanktioner, der er nødvendige.",EL
2021,29,Peder Hvelplund (EL),"Ja, det tror jeg helt bestemt. Altså, jeg tror, at når vi har set det øgede fokus på brug af den biomedicinske tilgang, er det jo netop, fordi vi har oplevet en psykiatri, der har været ekstremt presset, hvor man kan sige, at den letteste tilgang i nogle tilfælde har været at sige, at så medicinerer man sig ud af det. Min pointe er bare, at man jo ikke kan afskrive den medicinske behandling. Altså, den medicinske behandling vil også fremover være en del af psykiatrien, for det er der simpelt hen nogle borgere som har rigtig positive erfaringer med, og som vi kan hjælpe ad den vej. Men jeg tror, at en del af grunden til, at det er kommet til at fylde så meget, er, at vi har haft en psykiatri, der har været underfinansieret – at der ikke har været afsat ressourcer til at have den mere tværfaglige indsats, at have den mere forebyggende indsats og at have det mere holistiske billede i forhold til den enkelte patient, men at man netop har fokuseret på, hvilket medicinsk præparat man formoder kan hjælpe i det her tilfælde. Og jeg tror, at det er det, der (FM) 33 har skabt det store fokus på den biomedicinske tilgang, men jeg tror også, at det fortsat vil være en del af den psykiatri, vi kommer til at have fremover. Første næstformand",EL
2010,3,Benny Engelbrecht (S),"Det forslag til vedtagelse, der er fremsat af oppositionen, er tydeligvis ubekvemt for fru Pia Kjærsgaard, men sandheden er jo fra tid til anden ubekvem. Og sandheden om sagen om overbetaling er jo ikke bare, at sygehuse er blevet overbetalt, men bl.a. også, at der er blevet givet fejlagtige oplysninger i samråd, at der er givet forkerte svar i denne høje sal, og ikke mindst, at der er blevet forholdt Rigsrevisionen informationer. Og så er det vel ikke underligt, at vi i oppositionen siger, at så bliver vi nødt til at tage et spadestik dybere. Fru Pia Kjærsgaard har sagt meget klart og tydeligt, at i sidste ende kommer alle til at se på Dansk Folkeparti, når der f.eks. holdes et samråd, og se på, hvad Dansk Folkeparti så konkluderer, men sandheden er jo blot den, at når Dansk Folkeparti åbenbart selv mener, at den her overbetaling måske har været gavnlig, så må man spørge, om vi rent faktisk får en uafhængig vurdering, når vi holder os til samråd og spørgsmål her i salen og ikke tager spadestikket dybere. Fjerde næstformand",S
